"Étude Salaire 2020 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","","","","","","","","","","Avez-vous d'autres activités rémunérées ?","","","","","","","","","","","","","","","","","Quel revenus souhaitez-vous indiquer ?","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","De quelle école êtes-vous diplômé(e) ?","Autre diplôme","En quelle année avez-vous été diplômé(e) ?","Combien d'années d'expérience avez-vous ?","Quelle est votre région actuelle ?","Autre localisation","Quel est votre sexe ?","Combien d'enfants à charge avez-vous ?","Dans quel type de structure êtes-vous ?","Précision concernant le type de structure","Quelle est la taille de cette structure ?","De quelle convention collective dépend cette structure ?","activités d’enseignement","activités associatives","activités de paysagiste conseils de l’état","responsabilités universitaire","activité non salariée, en tant que micro-entrepreneurs","activité non salariée, en tant qu’entrepreneurs individuels classiques","activité non salariée, en tant gérants majoritaires de sociétés","activité non déclarée","Quel est votre statut ?","Quel est votre temps de travail hebdomadaire effectif annualisé ?","Etes-vous satisfait(e) de votre charge horaire ?","Etes-vous favorable au télétravail ?","Quel type de poste occupez-vous ?","Autre type de poste","Années d'ancienneté","Etes-vous satisfait(e) de votre emploi ?","Quel est votre revenu ANNUEL NET imposable en 2020 ?","Revenu salarial annuel net imposable : somme de tous les salaires perçus par un individu au cours d'une année donnée, nets de toutes cotisations sociales, y compris contribution sociale généralisée (CSG) et contribution au remboursement de la dette sociale (CRDS).","Revenu d’activité annuel : rémunération issue de l’activité non salariée, déduction faite des cotisations sociales payées dans l’année mais pas des contributions sociales (CSG non déductible, CRDS). Il est calculé à partir du revenu professionnel imposable auquel sont réintégrés certains allègements fiscaux et cotisations sociales facultatives : chiffre d’affaires des micro-entrepreneurs après abattement pour frais professionnels, bénéfice net des entrepreneurs individuels classiques, rémunération des gérants majoritaires (incluant une partie des dividendes).","Quel est votre salaire ANNUEL NET imposable en 2020 ?","Quel est votre revenu d’activité ANNUEL en 2020 ? ","Quels sont vos avantages ?","Etes-vous satisfait(e) de votre rémunération ?"
"12","7219825","31/12/2020 - 13:43","31/12/2020 - 13:43","31/12/2020 - 13:43","0","0.0.0.0","0","Anonymous","ESAJ","","1993","26","Bretagne","","Homme","2","Agence de paysage","","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","50","3","Non, uniquement pour le premier confinement","Chef(fe) de projet confirmé","","26","5 - Très satisfait","36881","X","","37108","","PEE","4"
"13","7222320","01/01/2021 - 23:56","01/01/2021 - 23:56","01/01/2021 - 23:56","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2019","1","Île-de-France","","","0","Bureau d'études","","11-25","Je ne sais pas","","","","","","","","","C.D.D","39","4","Oui, si flexbile","Chargé(e) d'étude débutant","","1","1","19800","X","","","","","2"
"14","7223125","02/01/2021 - 12:20","02/01/2021 - 12:20","02/01/2021 - 12:20","0","0.0.0.0","0","Anonymous","Autre","Technicien jardin espace vert","2019","3","Pays de la Loire","","","0","Freelance / Indépendant","","1","Convention collective nationale des entreprises du paysage","","","","","","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","39","5 - Très satisfait","Non, pas du tout","Autre","","3","5 - Très satisfait","12000","","X","","12000","","0 - Pas du tout satisfait"
"15","7223460","02/01/2021 - 14:35","02/01/2021 - 14:35","02/01/2021 - 14:35","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2019","3","Île-de-France","","Femme","0","Bureau d'études","","51-200","Je ne sais pas","","","","","","","","","C.D.I","39","2","Oui, y compris à temps complet","Chargé(e) d'étude débutant","","1","0 - Pas du tout satisfait","25200","X","","252000","","Aucun","4"
"16","7294530","11/01/2021 - 08:53","11/01/2021 - 08:53","11/01/2021 - 08:53","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","3","Autre","Asie","Homme","1","Agence de paysage","","2-5","Je ne sais pas","","","","","","","","","C.D.D","42","4","Oui, si flexbile","Chef(fe) de projet","","1","3","24960","X","","24960","","Couverture assurance médicale expat + 1Billet avion A/R France","3"
"17","7327393","13/01/2021 - 13:25","13/01/2021 - 13:25","13/01/2021 - 13:25","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2004","17","Île-de-France","","Femme","1","Agence de paysage","SARL","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","Dirigeant de SARL","55","3","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","12","5 - Très satisfait","","","X","","52000","PEE, voiture","3"
"18","7448962","24/01/2021 - 18:23","24/01/2021 - 18:23","24/01/2021 - 18:23","0","0.0.0.0","0","Anonymous","ENSAPBX","","2013","5","Normandie","","Femme","0","Association","","11-25","Je ne sais pas","X","","","","X","","","","C.D.I","37","5 - Très satisfait","Oui, y compris à temps complet","Paysagiste conseil","","2","5 - Très satisfait","","X","","18840","","RTT Ticket restaurant voiture de service","0 - Pas du tout satisfait"
"19","7448979","24/01/2021 - 18:25","24/01/2021 - 18:25","24/01/2021 - 18:25","0","0.0.0.0","0","Anonymous","Autre","Cornell","2017","4","Autre","Etats Unis","Homme","0","Fonction publique","Logement Social","1001-...","Fonction publique","","","","","","","","","Fonctionnaire","35","5 - Très satisfait","Oui, y compris à temps complet","Chargé(e) d'étude","","4","5 - Très satisfait","","X","","39427","","RTT (5 semaines), remboursement d'etudes et de cours","3"
"20","7448991","24/01/2021 - 18:27","24/01/2021 - 18:27","24/01/2021 - 18:27","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2019","1","Paris","","Femme","0","Agence d'architecture","","51-200","Je ne sais pas","","","","","","","","","C.D.D","37.5","4","Oui, si flexbile","Assistant(e) de projet","","1","2","30000","X","","","","RTT, tickets restaurants, CE","4"
"21","7448995","24/01/2021 - 18:28","24/01/2021 - 18:28","24/01/2021 - 18:28","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2018","3","Paris","","Femme","0","Agence de paysage","","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.D","39","3","Non, uniquement pour le premier confinement","Chef(fe) de projet débutant","","1","3","25500","X","","","","","0 - Pas du tout satisfait"
"22","7449012","24/01/2021 - 18:30","24/01/2021 - 18:30","24/01/2021 - 18:30","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2011","9","Occitanie","","Homme","0","Fonction publique","Commune","1001-...","Fonction publique territoriale","","","","","","","","","Fonctionnaire","36","5 - Très satisfait","Non, pas du tout","Autre","Directeur des espaces verts ","6","4","40000","X","","","","Chèques vacances ","3"
"23","7449014","24/01/2021 - 18:30","24/01/2021 - 18:30","24/01/2021 - 18:30","0","0.0.0.0","0","Anonymous","ENSAPBX","","2009","11","Grand Est","","Homme","0","Fonction publique","","1001-...","Fonction publique territoriale","","","","","","","","","Fonctionnaire","37.5","5 - Très satisfait","Non, exceptionnellement pour les deux confinements","Chef(fe) de projet","","4","4","35200","X","","35200","","RTT, tickets restaurants, chèque vacances","4"
"24","7449043","24/01/2021 - 18:33","24/01/2021 - 18:33","24/01/2021 - 18:33","0","0.0.0.0","0","Anonymous","Autre","Licence puis valorisation par l’expérience ","2016","5","Auvergne-Rhône-Alpes","","Homme","0","Entreprise de réalisation","","26-50","Convention collective nationale des entreprises du paysage","","","","","","","","","C.D.I","39","4","Non, exceptionnellement pour les deux confinements","Chargé(e) d'étude","","3","4","23400","X","","23400","","","3"
"25","7449102","24/01/2021 - 18:39","24/01/2021 - 18:39","24/01/2021 - 18:39","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2010","10","Île-de-France","","Homme","0","Entreprise de réalisation","","1001-...","Convention collective nationale des entreprises du paysage","","","","","","","","","C.D.I","45","1","Oui, si flexbile","Chargé(e) d'affaires / d'opérations / de missions","","10","4","42722","X","","","","Voiture de fonction ","4"
"26","7449133","24/01/2021 - 18:42","24/01/2021 - 18:42","24/01/2021 - 18:42","0","0.0.0.0","0","Anonymous","ENSAPL","","2015","5","Auvergne-Rhône-Alpes","","Femme","1","Agence d'architecture","","11-25","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","28","4","Oui, si flexbile","Chef(fe) de projet","","4","4","","X","","16337","","chèques déjeuner","1"
"27","7449170","24/01/2021 - 18:46","24/01/2021 - 18:46","24/01/2021 - 18:46","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","10","Île-de-France","","Femme","1","Agence de paysage","","6-10","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","42","4","Oui, si flexbile","Chef(fe) de projet","","5","4","","X","","32000","","Rtt tickets restaurants","4"
"28","7449191","24/01/2021 - 18:48","24/01/2021 - 18:48","24/01/2021 - 18:48","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2016","4","Autre","Berlin, Allemagne","Femme","0","Bureau d'études","","11-25","Code du travail (Sans convention)","","","","","","","","","C.D.I","40","2","Oui, si flexbile","Chef(fe) de projet","","4","3","34897","X","","","","","5 - Très satisfait"
"29","7449232","24/01/2021 - 18:54","24/01/2021 - 18:54","24/01/2021 - 18:54","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2019","1","Pays de la Loire","","Femme","0","Fonction publique","Ville d'angers","1001-...","Fonction publique","","","","","","","","","C.D.D","37.5","3","Oui, si flexbile","Responsable d'équipe","","1","4","19800","X","","19800","","RTT Tickets restaurants CNAS ( CE FPT)","4"
"30","7449244","24/01/2021 - 18:56","24/01/2021 - 18:56","24/01/2021 - 18:56","0","0.0.0.0","0","Anonymous","Lullier","","2012","5","Nouvelle-Aquitaine","","Femme","2","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","28","5 - Très satisfait","Oui, si flexbile","Chef(fe) de projet","","4","4","18000","X","","18000","","Voiture de fonction","2"
"31","7449333","24/01/2021 - 19:05","24/01/2021 - 19:05","24/01/2021 - 19:05","0","0.0.0.0","0","Anonymous","ENSAPBX","","2017","4","Pays de la Loire","","Homme","1","Agence de paysage","Vrd et paysage ","11-25","Je ne sais pas","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Chef(fe) de projet","","1","4","","X","","24000","","Ticket restaurant, RTT, intéressement ","4"
"32","7449385","24/01/2021 - 19:10","24/01/2021 - 19:10","24/01/2021 - 19:10","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2020","0","Nouvelle-Aquitaine","","Homme","0","Agence de paysage","","6-10","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.D","43","0 - Pas du tout satisfait","Oui, si flexbile","Chargé(e) d'étude débutant","","0","3","","X","","8816","","rien","2"
"33","7449463","24/01/2021 - 19:19","24/01/2021 - 19:19","24/01/2021 - 19:19","0","0.0.0.0","0","Anonymous","ESAJ","","2002","21","Occitanie","","Femme","3","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","Dirigeant d'entreprise salarié","60","4","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","16","5 - Très satisfait","35000","X","","2500","","VOITURE DE FONCTION","4"
"34","7449483","24/01/2021 - 19:21","24/01/2021 - 19:21","24/01/2021 - 19:21","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2012","9","Île-de-France","","Homme","1","Agence d'architecture","Agence recoupant sur 4 poles les compétences architecture paysage urbanisme et patrimoine","11-25","Convention collective nationale des entreprises du paysage","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Chef(fe) de projet confirmé","","8","3","41657","X","","41657","","Aucun","4"
"35","7449585","24/01/2021 - 19:34","24/01/2021 - 19:34","24/01/2021 - 19:34","0","0.0.0.0","0","Anonymous","Gembloux","","2018","0","Île-de-France","","","0","Agence de paysage","","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","Sans emploi","39","0 - Pas du tout satisfait","Non, pas du tout","Assistant(e) d'étude","","0","3","","X","","","","","1"
"36","7449603","24/01/2021 - 19:37","24/01/2021 - 19:37","24/01/2021 - 19:37","0","0.0.0.0","0","Anonymous","ENSAPL","","2019","1","Hauts-de-France","","Homme","0","Agence de paysage","","6-10","Je ne sais pas","","","","","","","","","C.D.I","39","4","Non, uniquement pour le premier confinement","Chargé(e) d'étude débutant","","1","3","20400","X","","20400","","11RTT/an ","3"
"37","7449952","24/01/2021 - 20:18","24/01/2021 - 20:18","24/01/2021 - 20:18","0","0.0.0.0","0","Anonymous","ITIAPE - ISA Lille","","2014","14","Provence-Alpes-Côte d'Azur","","Homme","0","Agence de paysage","Agence MOE paysage ","2-5","Convention collective nationale des entreprises d'architecture","","","","","X","","","","C.D.I","39","1","Oui, si flexbile","Chef(fe) de projet confirmé","","2","3","29970","X","","29970","","","0 - Pas du tout satisfait"
"38","7450006","24/01/2021 - 20:24","24/01/2021 - 20:24","24/01/2021 - 20:24","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","7","Grand Est","","Homme","2","Agence de paysage","","1","Code du travail (Sans convention)","X","X","","","","","","","Dirigeant de SARL","45","1","Oui, y compris à temps complet","Directeur(trice)/Dirigeant(e) de société","","4","5 - Très satisfait","28000","X","X","","43000","","3"
"39","7450356","24/01/2021 - 21:12","24/01/2021 - 21:12","24/01/2021 - 21:12","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","6","Auvergne-Rhône-Alpes","","","0","Agence de paysage","","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.D","39","3","Non, exceptionnellement pour les deux confinements","Chargé(e) d'étude confirmé","","0","5 - Très satisfait","19282","X","","19282","","","2"
"40","7450533","24/01/2021 - 21:36","24/01/2021 - 21:36","24/01/2021 - 21:36","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2016","4","Autre","","Homme","0","Agence de paysage","","26-50","Je ne sais pas","","","","X","","","","","C.D.I","37","5 - Très satisfait","Oui, si flexbile","Autre","","0","5 - Très satisfait","50000","X","","50000","","RTT, portable, assurance santé, fond retraite, primes de fin d’année ","5 - Très satisfait"
"41","7450542","24/01/2021 - 21:37","24/01/2021 - 21:37","24/01/2021 - 21:37","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2018","2","Nouvelle-Aquitaine","","Femme","0","Fonction publique","Agence technique départementale","51-200","Fonction publique territoriale","","","","","","","","","C.D.D","39","4","Oui, si flexbile","Chargé(e) d'étude","","0","4","14848","X","","14848","","RTT, Tickets restaurants, CE","3"
"42","7450992","24/01/2021 - 23:02","24/01/2021 - 23:02","24/01/2021 - 23:02","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2000","20","Bretagne","","Femme","2","Bureau d'études","Environnement et paysages","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","Dirigeant d'entreprise salarié","39","3","Oui, si flexbile","Responsable d'agence / bureaux","","13","4","35000","X","","2700","","Dividendes variables","3"
"43","7451386","25/01/2021 - 02:53","25/01/2021 - 02:53","25/01/2021 - 02:53","0","0.0.0.0","0","Anonymous","ENSP Marseille","","1987","33","Île-de-France","","Homme","0","Freelance / Indépendant","","1","Je ne sais pas","X","X","X","X","X","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","39","4","Non, pas du tout","Paysagiste conseil","","33","4","31461","X","X","","","","3"
"44","7451463","25/01/2021 - 05:59","25/01/2021 - 05:59","25/01/2021 - 05:59","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2017","3","La Réunion","","Femme","0","Fonction publique","ONF","1001-...","Je ne sais pas","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Chef(fe) de projet","","1","4","26400","X","","26400","","","3"
"45","7451567","25/01/2021 - 06:59","25/01/2021 - 06:59","25/01/2021 - 06:59","0","0.0.0.0","0","Anonymous","ENSP Versailles","","1992","26","Pays de la Loire","","Homme","0","Bureau d'études","Bureau d'études multidisciplinaire à client unique ","201-500","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","42","5 - Très satisfait","Oui, si flexbile","Responsable d'équipe","","2","4","","X","X","40585","","CE ","4"
"46","7451845","25/01/2021 - 08:11","25/01/2021 - 08:11","25/01/2021 - 08:11","0","0.0.0.0","0","Anonymous","ENSAPBX","","2011","10","Occitanie","","Femme","2","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","35","5 - Très satisfait","Oui, si flexbile","Chargé(e) d'étude","","10","5 - Très satisfait","19000","X","","19000","","","2"
"47","7451937","25/01/2021 - 08:21","25/01/2021 - 08:21","25/01/2021 - 08:21","0","0.0.0.0","0","Anonymous","ESAJ","","2016","5","Île-de-France","","Femme","0","Entreprise de réalisation","Petite entreprise de paysage","11-25","Convention collective nationale des entreprises du paysage","","","","","","","","","C.D.I","39","2","Oui, si flexbile","Chargé(e) d'étude confirmé","","2","3","23000","X","","21167","","Voiture, telephone","3"
"48","7452113","25/01/2021 - 08:40","25/01/2021 - 08:40","25/01/2021 - 08:40","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2016","3","Occitanie","","Homme","0","Entreprise de réalisation","","11-25","Je ne sais pas","","","","","","","","","C.D.I","39","3","Oui, y compris à temps complet","Chargé(e) d'étude","","3","2","21000","X","","1750","","","0 - Pas du tout satisfait"
"49","7452200","25/01/2021 - 08:51","25/01/2021 - 08:51","25/01/2021 - 08:51","0","0.0.0.0","0","Anonymous","ENSAPL","","2009","11","Hauts-de-France","","Femme","2","Fonction publique","Mairie","1001-...","Fonction publique territoriale","","","","","","","","","Contractuel dans la fonction publique","35","4","Oui, si flexbile","Chef(fe) de projet","","1","5 - Très satisfait","31000","X","","","","","3"
"50","7452222","25/01/2021 - 08:53","25/01/2021 - 08:53","25/01/2021 - 08:53","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2009","11","Hauts-de-France","","Homme","2","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","39","3","Non, uniquement pour le premier confinement","Chargé(e) d'étude","","9","2","28800","X","","","","","2"
"51","7452437","25/01/2021 - 09:11","25/01/2021 - 09:11","25/01/2021 - 09:11","0","0.0.0.0","0","Anonymous","Lullier","","2010","15","Pays de la Loire","","Homme","2","Agence de paysage","","2-5","Je ne sais pas","X","","","","","","","","Dirigeant de SARL","40","4","Oui, si flexbile","Chef(fe) de projet","","10","4","","","X","","23000","","4"
"52","7452621","25/01/2021 - 09:25","25/01/2021 - 09:25","25/01/2021 - 09:25","0","0.0.0.0","0","Anonymous","ENSAPBX","","1995","16","Nouvelle-Aquitaine","","Femme","2","Freelance / Indépendant","EI","1","Je ne sais pas","","","","","","","","","Dirigeant d'entreprise salarié","39","3","Oui, y compris à temps complet","Chargé(e) d'affaires / d'opérations / de missions","","16","3","60000","","X","","60000","","3"
"53","7452666","25/01/2021 - 09:28","25/01/2021 - 09:28","25/01/2021 - 09:28","0","0.0.0.0","0","Anonymous","INSA-CVL-ENP (ex: ENSNP)","","2013","7","Centre-Val de Loire","","Femme","1","Bureau d'études","sas bureau d'étude aménagements paysagers","2-5","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","39","5 - Très satisfait","Oui, si flexbile","Responsable d'agence / bureaux","","7","4","23520","X","","24088","","","4"
"54","7452714","25/01/2021 - 09:31","25/01/2021 - 09:31","25/01/2021 - 09:31","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2013","7","Occitanie","","Femme","0","Fonction publique","Communauté de communes / Grand Site de France","201-500","Fonction publique territoriale","","","","","","","","","Contractuel dans la fonction publique","39","5 - Très satisfait","Oui, si flexbile","Chargé(e) d'étude confirmé","","1","4","24500","X","X","25063","","RTT","3"
"55","7452777","25/01/2021 - 09:35","25/01/2021 - 09:35","25/01/2021 - 09:35","0","0.0.0.0","0","Anonymous","ESAJ","","2005","15","Île-de-France","","Homme","1","Fonction publique","Service technique","26-50","Fonction publique territoriale","","","","","","","","","C.D.D","35","5 - Très satisfait","Oui, si flexbile","Responsable d'agence / bureaux","","1","4","23000","X","","23000","","","3"
"56","7453295","25/01/2021 - 10:06","25/01/2021 - 10:06","25/01/2021 - 10:06","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2015","5","Pays de la Loire","","Femme","0","Bureau d'études","","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","35","3","Oui, si flexbile","Responsable d'équipe","","5","3","25502","X","","25502","","","2"
"57","7453399","25/01/2021 - 10:13","25/01/2021 - 10:13","25/01/2021 - 10:13","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","3","Pays de la Loire","","Homme","0","Fonction publique","Ville","201-500","Fonction publique territoriale","","","","","","","","","Contractuel dans la fonction publique","39","5 - Très satisfait","Oui, si flexbile","Chargé(e) d'affaires / d'opérations / de missions","","0","5 - Très satisfait","26640","X","","23000","","RTT, Tickets restaurants, Treizième mois, ","5 - Très satisfait"
